brand,color,fuelType,modelDate,numberOfDoors,productionDate,vehicleTransmission,enginePower,mileage,Привод,Руль,Состояние,Владельцы,ПТС,Таможня,Владение,id,motor,внедорожник,Безопасность,Салон,Мультимедиа,Комфорт,Обзор,Защита от угона,седан,хэтчбек,Элементы экстерьера,Прочее,лифтбек,купе,пикап,минивэн,компактвэн,универсал,родстер,кабриолет,фургон,микровэн,тарга,лимузин,model,car_id,url,price
6,4,2,2013,4,2020,2,163,86992,0,2,2,3,2,1,36115200,32493,1.6,0,8,4,1,7,3,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,111 CDI L3,37690368,https://vladivostok.drom.ru/mercedes-benz/viano/37690368.html,1200000
6,4,2,2013,4,2020,2,163,86992,0,2,2,3,2,1,35942400,32493,1.6,0,8,4,1,7,3,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,111 CDI L3,36961660,https://vladivostok.drom.ru/mercedes-benz/viano/36961660.html,1200000
6,4,2,2013,4,2020,2,163,73943,0,2,2,3,2,1,57715200,32493,1.6,0,8,4,1,7,3,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,111 CDI L3,36841883,https://moscow.drom.ru/mercedes-benz/viano/36841883.html,1899000
6,4,2,2014,4,2020,1,114,70215,1,2,2,2,2,1,4752000,32493,1.6,0,8,4,1,7,3,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,111 CDI L3,37589497,https://ekaterinburg.drom.ru/mercedes-benz/vito/37589497.html,1192000
6,4,2,2013,4,2020,1,95,100662,2,2,2,2,2,1,49593600,32493,1.6,0,8,4,1,7,3,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,111 CDI L3,33890437,https://ekaterinburg.drom.ru/mercedes-benz/vito/33890437.html,860000
6,4,2,2014,4,2020,2,136,73198,2,2,2,3,2,1,0,32493,1.6,0,8,4,1,7,3,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,111 CDI L3,37511719,https://minvody.drom.ru/mercedes-benz/vito/37511719.html,1280000
6,4,2,2013,4,2020,2,163,65244,0,2,2,2,2,1,154224000,32493,1.6,0,8,4,1,7,3,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,111 CDI L3,37410531,https://yalta.drom.ru/mercedes-benz/viano/37410531.html,1650000
6,4,2,2015,4,2020,1,136,76495,2,2,2,3,2,1,32832000,32493,1.6,0,8,4,1,7,3,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,111 CDI L3,35428960,https://krasnoyarsk.drom.ru/mercedes-benz/v-class/35428960.html,1790000
6,4,2,2013,4,2020,2,163,93206,0,2,2,1,2,1,188611200,32493,1.6,0,8,4,1,7,3,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,111 CDI L3,36373062,https://novosibirsk.drom.ru/mercedes-benz/viano/36373062.html,1780000
6,4,2,2013,4,2020,2,136,86992,0,2,2,3,2,1,9504000,32493,1.6,0,8,4,1,7,3,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,111 CDI L3,36434341,https://irkutsk.drom.ru/mercedes-benz/vito/36434341.html,1530000
6,4,2,2015,4,2020,1,88,62137,1,2,2,2,2,1,48211200,32493,1.6,0,8,4,1,7,3,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,111 CDI L3,36835795,https://zelenograd.drom.ru/mercedes-benz/vito/36835795.html,1050000
6,4,2,2015,4,2020,1,136,71458,2,2,2,3,2,1,2937600,32493,1.6,0,8,4,1,7,3,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,111 CDI L3,36815962,https://simferopol.drom.ru/mercedes-benz/vito/36815962.html,1350000
6,4,2,2014,4,2020,2,190,72079,2,2,2,3,2,1,33868800,32493,1.6,0,8,4,1,7,3,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,111 CDI L3,36892839,https://moscow.drom.ru/mercedes-benz/v-class/36892839.html,2100000
6,4,2,2013,4,2020,2,163,99419,0,2,2,2,2,1,107740800,32493,1.6,0,8,4,1,7,3,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,111 CDI L3,36718900,https://moscow.drom.ru/mercedes-benz/viano/36718900.html,1200000
6,4,2,2015,4,2019,2,190,85128,0,2,2,2,2,1,62121600,32493,1.6,0,8,4,1,7,3,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,111 CDI L3,36309650,https://moscow.drom.ru/mercedes-benz/v-class/36309650.html,2850000
6,4,2,2014,4,2019,1,88,66277,1,2,2,2,2,1,133747200,32493,1.6,0,8,4,1,7,3,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,111 CDI L3,36573725,https://spb.drom.ru/mercedes-benz/vito/36573725.html,1252070
6,4,2,2013,4,2019,2,163,75807,0,2,2,3,2,1,0,32493,1.6,0,8,4,1,7,3,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,111 CDI L3,36506015,https://pyatigorsk.drom.ru/mercedes-benz/viano/36506015.html,1650000
6,4,2,2015,4,2019,1,136,59030,2,2,2,3,2,1,-1209600,32493,1.6,0,8,4,1,7,3,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,111 CDI L3,36280060,https://sevastopol.drom.ru/mercedes-benz/vito/36280060.html,1850000
6,4,2,2014,4,2019,2,136,75186,0,2,2,1,2,1,518400,32493,1.6,0,8,4,1,7,3,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,111 CDI L3,36454548,https://simferopol.drom.ru/mercedes-benz/vito/36454548.html,1390000
6,4,2,2014,4,2019,2,190,93206,2,2,2,3,2,1,65232000,32493,1.6,0,8,4,1,7,3,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,111 CDI L3,36281350,https://moscow.drom.ru/mercedes-benz/v-class/36281350.html,2500000
6,4,2,2013,4,2019,2,170,96313,2,2,2,0,2,1,0,32493,1.6,0,8,4,1,7,3,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,111 CDI L3,35920986,https://simferopol.drom.ru/mercedes-benz/viano/35920986.html,1333333
6,4,2,2015,4,2019,2,190,59030,2,2,2,0,2,1,0,32493,1.6,0,8,4,1,7,3,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,111 CDI L3,34057453,https://krasnodar.drom.ru/mercedes-benz/v-class/34057453.html,2750000
6,4,2,2014,4,2019,2,136,67108,0,2,2,3,2,1,0,32493,1.6,0,8,4,1,7,3,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,111 CDI L3,35956810,https://tyumen.drom.ru/mercedes-benz/vito/35956810.html,2500000
6,4,2,2015,4,2019,1,136,85749,2,2,2,3,2,1,0,32493,1.6,0,8,4,1,7,3,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,111 CDI L3,35883577,https://yalta.drom.ru/mercedes-benz/vito/35883577.html,1600000
6,4,2,2013,4,2019,2,163,70135,0,2,2,3,2,1,0,32493,1.6,0,8,4,1,7,3,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,111 CDI L3,35782913,https://spb.drom.ru/mercedes-benz/viano/35782913.html,1900000
6,4,2,2014,4,2019,2,190,59030,2,2,2,3,2,1,0,32493,1.6,0,8,4,1,7,3,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,111 CDI L3,35724513,https://moscow.drom.ru/mercedes-benz/v-class/35724513.html,2300000
6,4,2,2014,4,2019,2,190,86992,2,2,2,3,2,1,0,32493,1.6,0,8,4,1,7,3,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,111 CDI L3,35262128,https://krasnodar.drom.ru/mercedes-benz/v-class/35262128.html,2790000
6,4,2,2015,4,2019,2,163,62137,2,2,2,3,2,1,0,32493,1.6,0,8,4,1,7,3,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,111 CDI L3,33421316,https://chelyabinsk.drom.ru/mercedes-benz/v-class/33421316.html,2590000
6,4,2,2014,4,2019,2,136,60584,2,2,2,3,2,1,0,32493,1.6,0,8,4,1,7,3,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,111 CDI L3,35294315,https://rostov-na-donu.drom.ru/mercedes-benz/vito/35294315.html,1650000
6,4,2,2014,4,2019,2,163,59030,2,2,2,3,2,1,0,32493,1.6,0,8,4,1,7,3,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,111 CDI L3,34411686,https://moscow.drom.ru/mercedes-benz/v-class/34411686.html,2190000
6,4,2,2013,4,2019,2,136,63371,0,2,2,3,2,1,0,32493,1.6,0,8,4,1,7,3,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,111 CDI L3,35598099,https://krasnodar.drom.ru/mercedes-benz/vito/35598099.html,1530000
6,4,2,2013,4,2019,2,136,78293,0,2,2,3,2,1,0,32493,1.6,0,8,4,1,7,3,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,111 CDI L3,31848516,https://chelyabinsk.drom.ru/mercedes-benz/vito/31848516.html,1390000
6,4,2,2013,4,2019,2,163,95691,2,2,2,3,2,1,0,32493,1.6,0,8,4,1,7,3,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,111 CDI L3,35236667,https://novosibirsk.drom.ru/mercedes-benz/viano/35236667.html,1350000
